label,filename,duration_sec,num_strokes,x_mean,x_std,x_min,x_max,x_range,y_mean,y_std,y_min,y_max,y_range,z_mean,z_std,z_min,z_max,z_range
n,n_18.csv,0.9524843692779541,1,-21.687203791469194,66.07533058311395,-133,186,319,158.00947867298578,121.21221023365146,-26,410,436,180.4218009478673,214.3988879203972,-212,494,706
n,n_19.csv,0.9812588691711426,1,13.21608040201005,67.21891375481563,-72,194,266,205.76884422110552,135.3964132515507,25,456,431,172.7035175879397,215.97020356046323,-140,498,638
n,n_2.csv,1.0186967849731445,1,-4.396396396396397,52.65095157627645,-118,137,255,169.95945945945945,112.2370760709462,10,406,396,147.51351351351352,255.71119402303322,-288,498,786
n,n_20.csv,1.1249089241027832,1,-5.67741935483871,42.32706752376416,-61,164,225,168.2442396313364,115.79076066775097,18,394,376,138.3963133640553,197.98739574840283,-160,495,655
n,n_21.csv,1.0949528217315674,1,-10.094650205761317,44.24895866754677,-74,102,176,159.68312757201647,86.07997916657722,20,308,288,157.07407407407408,199.29490033685127,-175,460,635
n,n_22.csv,1.144885540008545,1,-0.4624505928853755,51.97446310069672,-173,97,270,186.37944664031622,118.65405184959972,4,474,470,148.46245059288538,231.06950178653074,-232,495,727
n,n_23.csv,1.0949013233184814,1,14.995433789954339,49.56235047451512,-73,165,238,185.7579908675799,111.89207147215656,18,430,412,166.8082191780822,208.6302856224959,-160,498,658
n,n_24.csv,1.0911166667938232,1,12.195121951219512,67.96465570491112,-61,255,316,181.48373983739836,113.79608391381399,24,402,378,158.71138211382114,199.3310497140944,-178,450,628
n,n_25.csv,1.1062774658203125,1,-12.604081632653061,54.1940425283728,-101,130,231,210.38367346938776,126.78731924966272,14,444,430,174.46938775510205,224.1392737073676,-228,492,720
n,n_3.csv,0.9510908126831055,1,-14.742424242424242,51.72495905283129,-192,148,340,162.04545454545453,107.08691358168952,18,392,374,133.33838383838383,224.6026195123089,-194,496,690
n,n_4.csv,1.0236632823944092,1,-13.155339805825243,32.190972005586545,-94,49,143,134.17961165048544,102.54456150612081,6,344,338,163.4757281553398,222.13078303976116,-194,496,690
n,n_5.csv,1.1224448680877686,1,-101.8702928870293,175.4996825283764,-511,211,722,163.0878661087866,122.77521228370867,5,468,463,98.581589958159,198.99789027001066,-212,497,709
n,n_6.csv,1.1636712551116943,1,-139.1119691119691,210.54093999582273,-497,185,682,152.51351351351352,114.0160586864086,-10,440,450,117.85328185328186,137.50462183508378,-136,360,496
n,n_7.csv,1.043503999710083,1,-109.025,144.05031446072692,-403,147,550,146.38333333333333,113.98279862394956,-12,367,379,151.8625,201.737167572896,-140,497,637
n,n_8.csv,1.012467384338379,1,-57.44927536231884,99.4232205445636,-231,85,316,172.71497584541063,117.73572066397863,-1,488,489,185.23671497584542,209.84973126842,-196,495,691
n,n_9.csv,0.9311552047729492,1,-10.380208333333334,52.71077086707608,-161,118,279,161.69791666666666,96.83522138328098,28,354,326,152.59375,217.42137427618886,-167,484,651
o,o_1.csv,0.8736143112182617,1,-38.27777777777778,129.82584189630515,-244,146,390,135.76111111111112,78.18923927512878,-54,226,280,90.85,181.26160837417024,-192,392,584
o,o_10.csv,0.7032794952392578,1,-43.67785234899329,164.1998727843096,-337,191,528,185.65771812080536,63.80510568108215,8,286,278,101.48993288590604,186.43931037209532,-158,422,580
o,o_11.csv,0.6473736763000488,1,-36.76223776223776,161.3619829758135,-318,171,489,203.15384615384616,66.19819874281373,38,312,274,123.38461538461539,179.89993005020693,-126,428,554
o,o_12.csv,0.7223954200744629,1,-55.30769230769231,141.9995651039378,-298,163,461,176.83916083916083,56.72439552060625,0,252,252,117.84615384615384,172.30297209522942,-148,454,602
o,o_13.csv,0.7999832630157471,1,-63.35329341317365,134.24878352388265,-289,162,451,156.4431137724551,90.7489324037186,-62,326,388,107.83832335329342,174.8902346762784,-212,364,576
o,o_14.csv,0.7449061870574951,1,-43.92465753424658,147.8938615506562,-295,172,467,195.13013698630138,76.79747335091535,4,322,318,106.06849315068493,172.37075748210634,-112,482,594
o,o_15.csv,0.7460978031158447,1,-46.703947368421055,146.2690453469195,-248,182,430,216.51973684210526,105.81634536131766,-42,372,414,100.50657894736842,164.0593494900742,-152,392,544
o,o_16.csv,0.751075029373169,1,-55.48765432098765,150.2075267384213,-315,176,491,181.53703703703704,82.59819218758366,4,312,308,96.17283950617283,158.588360473275,-113,359,472
o,o_17.csv,0.7335104942321777,1,-47.54545454545455,154.77314061371362,-328,162,490,178.27272727272728,96.79916118087753,-30,322,352,83.38181818181818,167.36579890472106,-102,436,538
